Episode: 0 | Steps: 216/10000000 | Avg reward: 1.600000 | loss: 0.000000 | Best: 0.000000
Episode: 10 | Steps: 2294/10000000 | Avg reward: 7.100000 | loss: 0.000000 | Best: 1.600000
Episode: 20 | Steps: 4560/10000000 | Avg reward: 9.700000 | loss: 0.000000 | Best: 7.100000
Episode: 30 | Steps: 6683/10000000 | Avg reward: 10.300000 | loss: 0.000000 | Best: 9.700000
Episode: 40 | Steps: 9134/10000000 | Avg reward: 8.200000 | loss: 0.000000 | Best: 10.300000
Episode: 50 | Steps: 11016/10000000 | Avg reward: 9.400000 | loss: 0.014848 | Best: 10.300000
Episode: 60 | Steps: 12647/10000000 | Avg reward: 11.900000 | loss: 0.013281 | Best: 10.300000
Episode: 70 | Steps: 14793/10000000 | Avg reward: 16.100000 | loss: 0.006601 | Best: 11.900000
Episode: 80 | Steps: 16768/10000000 | Avg reward: 16.300000 | loss: 0.070303 | Best: 16.100000
Episode: 90 | Steps: 18912/10000000 | Avg reward: 19.700000 | loss: 0.033906 | Best: 16.300000
Episode: 100 | Steps: 21044/10000000 | Avg reward: 20.700000 | loss: 0.027946 | Best: 19.700000
Episode: 110 | Steps: 23038/10000000 | Avg reward: 18.300000 | loss: 0.028132 | Best: 20.700000
Episode: 120 | Steps: 25431/10000000 | Avg reward: 22.700000 | loss: 0.029818 | Best: 20.700000
Episode: 130 | Steps: 27363/10000000 | Avg reward: 14.600000 | loss: 0.061699 | Best: 22.700000
Episode: 140 | Steps: 29577/10000000 | Avg reward: 20.900000 | loss: 0.022401 | Best: 22.700000
Episode: 150 | Steps: 31600/10000000 | Avg reward: 18.100000 | loss: 0.051118 | Best: 22.700000
Episode: 160 | Steps: 33512/10000000 | Avg reward: 15.700000 | loss: 0.053430 | Best: 22.700000
Episode: 170 | Steps: 35826/10000000 | Avg reward: 21.700000 | loss: 0.032815 | Best: 22.700000
Episode: 180 | Steps: 37879/10000000 | Avg reward: 17.300000 | loss: 0.064429 | Best: 22.700000
Episode: 190 | Steps: 39783/10000000 | Avg reward: 20.200000 | loss: 0.032396 | Best: 22.700000
Episode: 200 | Steps: 41860/10000000 | Avg reward: 17.900000 | loss: 0.001145 | Best: 22.700000
Episode: 210 | Steps: 43876/10000000 | Avg reward: 20.800000 | loss: 0.032701 | Best: 22.700000
Episode: 220 | Steps: 45816/10000000 | Avg reward: 12.600000 | loss: 0.032514 | Best: 22.700000
Episode: 230 | Steps: 48420/10000000 | Avg reward: 24.400000 | loss: 0.028601 | Best: 22.700000
Episode: 240 | Steps: 50015/10000000 | Avg reward: 15.700000 | loss: 0.023690 | Best: 24.400000
Episode: 250 | Steps: 52071/10000000 | Avg reward: 16.800000 | loss: 0.031614 | Best: 24.400000
Episode: 260 | Steps: 53928/10000000 | Avg reward: 17.200000 | loss: 0.031401 | Best: 24.400000
Episode: 270 | Steps: 56735/10000000 | Avg reward: 26.800000 | loss: 0.035179 | Best: 24.400000
Episode: 280 | Steps: 59155/10000000 | Avg reward: 23.000000 | loss: 0.041660 | Best: 26.800000
Episode: 290 | Steps: 61184/10000000 | Avg reward: 16.600000 | loss: 0.022026 | Best: 26.800000
Episode: 300 | Steps: 63815/10000000 | Avg reward: 23.200000 | loss: 0.028262 | Best: 26.800000
Episode: 310 | Steps: 65838/10000000 | Avg reward: 16.600000 | loss: 0.014398 | Best: 26.800000
Episode: 320 | Steps: 68132/10000000 | Avg reward: 21.200000 | loss: 0.029075 | Best: 26.800000
Episode: 330 | Steps: 70361/10000000 | Avg reward: 20.500000 | loss: 0.035596 | Best: 26.800000
Episode: 340 | Steps: 72195/10000000 | Avg reward: 17.600000 | loss: 0.029553 | Best: 26.800000
Episode: 350 | Steps: 74214/10000000 | Avg reward: 18.500000 | loss: 0.030794 | Best: 26.800000
Episode: 360 | Steps: 76276/10000000 | Avg reward: 22.000000 | loss: 0.007338 | Best: 26.800000
Episode: 370 | Steps: 78173/10000000 | Avg reward: 16.600000 | loss: 0.017168 | Best: 26.800000
Episode: 380 | Steps: 80480/10000000 | Avg reward: 20.800000 | loss: 0.021059 | Best: 26.800000
Episode: 390 | Steps: 82247/10000000 | Avg reward: 17.200000 | loss: 0.032297 | Best: 26.800000
Episode: 400 | Steps: 83855/10000000 | Avg reward: 13.300000 | loss: 0.042187 | Best: 26.800000
Episode: 410 | Steps: 85900/10000000 | Avg reward: 20.100000 | loss: 0.006555 | Best: 26.800000
Episode: 420 | Steps: 88101/10000000 | Avg reward: 24.000000 | loss: 0.021007 | Best: 26.800000
Episode: 430 | Steps: 90260/10000000 | Avg reward: 19.600000 | loss: 0.043598 | Best: 26.800000
Episode: 440 | Steps: 92504/10000000 | Avg reward: 21.300000 | loss: 0.011955 | Best: 26.800000
Episode: 450 | Steps: 94605/10000000 | Avg reward: 19.400000 | loss: 0.016521 | Best: 26.800000
Episode: 460 | Steps: 96711/10000000 | Avg reward: 19.100000 | loss: 0.016973 | Best: 26.800000
Episode: 470 | Steps: 98897/10000000 | Avg reward: 19.300000 | loss: 0.039581 | Best: 26.800000
Episode: 480 | Steps: 100967/10000000 | Avg reward: 18.100000 | loss: 0.014582 | Best: 26.800000
Episode: 490 | Steps: 102989/10000000 | Avg reward: 20.600000 | loss: 0.052153 | Best: 26.800000
Episode: 500 | Steps: 105253/10000000 | Avg reward: 19.600000 | loss: 0.043385 | Best: 26.800000
Episode: 510 | Steps: 107040/10000000 | Avg reward: 18.500000 | loss: 0.008543 | Best: 26.800000
