Epochs: 880/100000 | Avg reward: -130.425461 | Best reward: -104.876261
Epochs: 890/100000 | Avg reward: -136.045618 | Best reward: -104.876261
Epochs: 900/100000 | Avg reward: -115.222898 | Best reward: -104.876261
Epochs: 910/100000 | Avg reward: -127.182381 | Best reward: -104.876261
Epochs: 920/100000 | Avg reward: -105.984252 | Best reward: -104.876261
Epochs: 930/100000 | Avg reward: -103.492857 | Best reward: -101.084241
Epochs: 940/100000 | Avg reward: -124.101240 | Best reward: -90.726626
Epochs: 950/100000 | Avg reward: -120.620045 | Best reward: -90.726626
Epochs: 960/100000 | Avg reward: -129.451143 | Best reward: -90.726626
Epochs: 970/100000 | Avg reward: -121.022168 | Best reward: -90.726626
Epochs: 980/100000 | Avg reward: -104.735623 | Best reward: -90.726626
Epochs: 990/100000 | Avg reward: -107.688232 | Best reward: -90.726626
Epochs: 1000/100000 | Avg reward: -109.207069 | Best reward: -90.726626
Epochs: 1010/100000 | Avg reward: -137.188934 | Best reward: -90.726626
Epochs: 1020/100000 | Avg reward: -105.308995 | Best reward: -90.726626
Epochs: 1030/100000 | Avg reward: -114.690992 | Best reward: -90.726626
Epochs: 1040/100000 | Avg reward: -101.493548 | Best reward: -90.726626
Epochs: 1050/100000 | Avg reward: -108.447444 | Best reward: -90.726626
Epochs: 1060/100000 | Avg reward: -120.808400 | Best reward: -90.726626
Epochs: 1070/100000 | Avg reward: -131.050466 | Best reward: -90.726626
Epochs: 1080/100000 | Avg reward: -112.494108 | Best reward: -90.726626
Epochs: 1090/100000 | Avg reward: -118.846776 | Best reward: -90.726626
Epochs: 1100/100000 | Avg reward: -104.990176 | Best reward: -90.726626
Epochs: 1110/100000 | Avg reward: -102.626573 | Best reward: -90.726626
Epochs: 1120/100000 | Avg reward: -103.004874 | Best reward: -90.726626
Epochs: 1130/100000 | Avg reward: -107.617184 | Best reward: -90.726626
Epochs: 1140/100000 | Avg reward: -129.879252 | Best reward: -90.726626
Epochs: 1150/100000 | Avg reward: -125.615309 | Best reward: -90.726626
Epochs: 1160/100000 | Avg reward: -134.316724 | Best reward: -90.726626
