Episode: 0 | Steps: 168/10000000 | Avg reward: 2.100000 | loss: 0.000000 | Best: 0.000000
Episode: 10 | Steps: 1384/10000000 | Avg reward: 6.300000 | loss: 0.000000 | Best: 2.100000
Episode: 20 | Steps: 3238/10000000 | Avg reward: 10.600000 | loss: 0.000000 | Best: 6.300000
Episode: 30 | Steps: 4725/10000000 | Avg reward: 12.400000 | loss: 0.000000 | Best: 10.600000
Episode: 40 | Steps: 6095/10000000 | Avg reward: 9.300000 | loss: 0.000000 | Best: 12.400000
Episode: 50 | Steps: 7362/10000000 | Avg reward: 7.400000 | loss: 0.000000 | Best: 12.400000
Episode: 60 | Steps: 8875/10000000 | Avg reward: 11.300000 | loss: 0.000000 | Best: 12.400000
Episode: 70 | Steps: 10501/10000000 | Avg reward: 12.100000 | loss: 0.002128 | Best: 12.400000
Episode: 80 | Steps: 12054/10000000 | Avg reward: 11.500000 | loss: 0.028844 | Best: 12.400000
Episode: 90 | Steps: 14107/10000000 | Avg reward: 15.900000 | loss: 0.045368 | Best: 12.400000
Episode: 100 | Steps: 16098/10000000 | Avg reward: 18.000000 | loss: 0.012739 | Best: 15.900000
Episode: 110 | Steps: 17952/10000000 | Avg reward: 14.900000 | loss: 0.021103 | Best: 18.000000
Episode: 120 | Steps: 19439/10000000 | Avg reward: 16.200000 | loss: 0.101468 | Best: 18.000000
Episode: 130 | Steps: 20902/10000000 | Avg reward: 11.400000 | loss: 0.070270 | Best: 18.000000
Episode: 140 | Steps: 23581/10000000 | Avg reward: 23.100000 | loss: 0.054521 | Best: 18.000000
Episode: 150 | Steps: 25702/10000000 | Avg reward: 18.400000 | loss: 0.048542 | Best: 23.100000
Episode: 160 | Steps: 27925/10000000 | Avg reward: 20.200000 | loss: 0.012719 | Best: 23.100000
Episode: 170 | Steps: 29656/10000000 | Avg reward: 14.200000 | loss: 0.034087 | Best: 23.100000
Episode: 180 | Steps: 31620/10000000 | Avg reward: 14.500000 | loss: 0.051331 | Best: 23.100000
Episode: 190 | Steps: 33988/10000000 | Avg reward: 20.800000 | loss: 0.114478 | Best: 23.100000
Episode: 200 | Steps: 36341/10000000 | Avg reward: 20.400000 | loss: 0.058186 | Best: 23.100000
