Episode: 600 | Steps: 1394264/10000000 | Avg reward: 26.800000 | loss: 0.049144 | Best: 32.100000
Episode: 610 | Steps: 1417292/10000000 | Avg reward: 26.900000 | loss: 0.130291 | Best: 32.100000
Episode: 620 | Steps: 1439714/10000000 | Avg reward: 25.400000 | loss: 0.073584 | Best: 32.100000
Episode: 630 | Steps: 1459598/10000000 | Avg reward: 37.200000 | loss: 0.157078 | Best: 32.100000
Episode: 640 | Steps: 1480117/10000000 | Avg reward: 33.000000 | loss: 0.088787 | Best: 37.200000
Episode: 650 | Steps: 1502155/10000000 | Avg reward: 25.600000 | loss: 0.025658 | Best: 37.200000
Episode: 660 | Steps: 1522168/10000000 | Avg reward: 36.200000 | loss: 0.051614 | Best: 37.200000
Episode: 670 | Steps: 1545355/10000000 | Avg reward: 21.800000 | loss: 0.056813 | Best: 37.200000
Episode: 680 | Steps: 1567896/10000000 | Avg reward: 25.100000 | loss: 0.053734 | Best: 37.200000
Episode: 690 | Steps: 1591011/10000000 | Avg reward: 21.100000 | loss: 0.066676 | Best: 37.200000
Episode: 700 | Steps: 1612493/10000000 | Avg reward: 27.400000 | loss: 0.019972 | Best: 37.200000
Episode: 710 | Steps: 1634121/10000000 | Avg reward: 27.000000 | loss: 0.025587 | Best: 37.200000
Episode: 720 | Steps: 1655795/10000000 | Avg reward: 26.400000 | loss: 0.092081 | Best: 37.200000
Episode: 730 | Steps: 1678877/10000000 | Avg reward: 21.400000 | loss: 0.058910 | Best: 37.200000
Episode: 740 | Steps: 1699093/10000000 | Avg reward: 33.100000 | loss: 0.157609 | Best: 37.200000
Episode: 750 | Steps: 1721520/10000000 | Avg reward: 21.300000 | loss: 0.052536 | Best: 37.200000
Episode: 760 | Steps: 1742587/10000000 | Avg reward: 22.400000 | loss: 0.075026 | Best: 37.200000
Episode: 770 | Steps: 1764722/10000000 | Avg reward: 23.700000 | loss: 0.066383 | Best: 37.200000
Episode: 780 | Steps: 1787651/10000000 | Avg reward: 24.600000 | loss: 0.046919 | Best: 37.200000
Episode: 790 | Steps: 1808837/10000000 | Avg reward: 25.400000 | loss: 0.079727 | Best: 37.200000
Episode: 800 | Steps: 1832048/10000000 | Avg reward: 12.400000 | loss: 0.052809 | Best: 37.200000
Episode: 810 | Steps: 1853325/10000000 | Avg reward: 24.800000 | loss: 0.045711 | Best: 37.200000
Episode: 820 | Steps: 1874777/10000000 | Avg reward: 24.200000 | loss: 0.369224 | Best: 37.200000
Episode: 830 | Steps: 1895794/10000000 | Avg reward: 30.200000 | loss: 0.085209 | Best: 37.200000
Episode: 840 | Steps: 1918418/10000000 | Avg reward: 20.100000 | loss: 0.033665 | Best: 37.200000
Episode: 850 | Steps: 1939665/10000000 | Avg reward: 23.900000 | loss: 0.028812 | Best: 37.200000
