Episode: 0 | Steps: 190/10000000 | Avg reward: 2.300000 | loss: 0.000000 | Best: 0.000000
Episode: 10 | Steps: 2012/10000000 | Avg reward: 7.600000 | loss: 0.000000 | Best: 2.300000
Episode: 20 | Steps: 3487/10000000 | Avg reward: 8.100000 | loss: 0.000000 | Best: 7.600000
Episode: 30 | Steps: 5112/10000000 | Avg reward: 10.800000 | loss: 0.000000 | Best: 8.100000
Episode: 40 | Steps: 6953/10000000 | Avg reward: 8.600000 | loss: 0.000000 | Best: 10.800000
Episode: 50 | Steps: 8918/10000000 | Avg reward: 11.000000 | loss: 0.000000 | Best: 10.800000
Episode: 60 | Steps: 10753/10000000 | Avg reward: 13.100000 | loss: 0.042857 | Best: 11.000000
Episode: 70 | Steps: 12488/10000000 | Avg reward: 12.800000 | loss: 0.001196 | Best: 13.100000
Episode: 80 | Steps: 14337/10000000 | Avg reward: 14.600000 | loss: 0.047251 | Best: 13.100000
Episode: 90 | Steps: 16339/10000000 | Avg reward: 13.100000 | loss: 0.045870 | Best: 14.600000
Episode: 100 | Steps: 18328/10000000 | Avg reward: 15.300000 | loss: 0.025085 | Best: 14.600000
Episode: 110 | Steps: 21214/10000000 | Avg reward: 23.400000 | loss: 0.009350 | Best: 15.300000
Episode: 120 | Steps: 23454/10000000 | Avg reward: 21.000000 | loss: 0.054346 | Best: 23.400000
Episode: 130 | Steps: 24893/10000000 | Avg reward: 12.900000 | loss: 0.079088 | Best: 23.400000
Episode: 140 | Steps: 26361/10000000 | Avg reward: 13.300000 | loss: 0.041276 | Best: 23.400000
Episode: 150 | Steps: 28389/10000000 | Avg reward: 19.000000 | loss: 0.060981 | Best: 23.400000
Episode: 160 | Steps: 30156/10000000 | Avg reward: 12.500000 | loss: 0.035599 | Best: 23.400000
Episode: 170 | Steps: 31974/10000000 | Avg reward: 15.900000 | loss: 0.098840 | Best: 23.400000
Episode: 180 | Steps: 34105/10000000 | Avg reward: 19.600000 | loss: 0.043246 | Best: 23.400000
Episode: 190 | Steps: 36295/10000000 | Avg reward: 19.000000 | loss: 0.033757 | Best: 23.400000
Episode: 200 | Steps: 38873/10000000 | Avg reward: 23.900000 | loss: 0.042004 | Best: 23.400000
Episode: 210 | Steps: 40687/10000000 | Avg reward: 16.700000 | loss: 0.051538 | Best: 23.900000
Episode: 220 | Steps: 42584/10000000 | Avg reward: 17.700000 | loss: 0.075210 | Best: 23.900000
Episode: 230 | Steps: 44778/10000000 | Avg reward: 21.700000 | loss: 0.043061 | Best: 23.900000
Episode: 240 | Steps: 46513/10000000 | Avg reward: 16.800000 | loss: 0.055637 | Best: 23.900000
Episode: 250 | Steps: 48397/10000000 | Avg reward: 17.100000 | loss: 0.049672 | Best: 23.900000
Episode: 260 | Steps: 50142/10000000 | Avg reward: 17.100000 | loss: 0.044728 | Best: 23.900000
Episode: 270 | Steps: 51828/10000000 | Avg reward: 15.500000 | loss: 0.113265 | Best: 23.900000
Episode: 280 | Steps: 53708/10000000 | Avg reward: 20.300000 | loss: 0.041085 | Best: 23.900000
Episode: 290 | Steps: 55506/10000000 | Avg reward: 14.400000 | loss: 0.108000 | Best: 23.900000
Episode: 300 | Steps: 57300/10000000 | Avg reward: 17.200000 | loss: 0.138189 | Best: 23.900000
Episode: 310 | Steps: 59521/10000000 | Avg reward: 21.300000 | loss: 0.109945 | Best: 23.900000
Episode: 320 | Steps: 61342/10000000 | Avg reward: 22.200000 | loss: 0.147860 | Best: 23.900000
Episode: 330 | Steps: 63971/10000000 | Avg reward: 27.200000 | loss: 0.137109 | Best: 23.900000
Episode: 340 | Steps: 65871/10000000 | Avg reward: 19.500000 | loss: 0.028323 | Best: 27.200000
Episode: 350 | Steps: 67552/10000000 | Avg reward: 18.800000 | loss: 0.147811 | Best: 27.200000
Episode: 360 | Steps: 69197/10000000 | Avg reward: 16.300000 | loss: 0.074582 | Best: 27.200000
Episode: 370 | Steps: 70851/10000000 | Avg reward: 16.700000 | loss: 0.070745 | Best: 27.200000
Episode: 380 | Steps: 72675/10000000 | Avg reward: 14.200000 | loss: 0.054338 | Best: 27.200000
