Episode: 0 | Steps: 276/10000000 | Avg reward: 1.800000 | loss: 0.000000 | Best: 0.000000
Episode: 10 | Steps: 1934/10000000 | Avg reward: 12.200000 | loss: 0.000000 | Best: 1.800000
Episode: 20 | Steps: 3880/10000000 | Avg reward: 11.400000 | loss: 0.000000 | Best: 12.200000
Episode: 30 | Steps: 5806/10000000 | Avg reward: 13.900000 | loss: 0.000000 | Best: 12.200000
Episode: 40 | Steps: 7333/10000000 | Avg reward: 10.200000 | loss: 0.000000 | Best: 13.900000
Episode: 50 | Steps: 8992/10000000 | Avg reward: 11.500000 | loss: 0.000000 | Best: 13.900000
Episode: 60 | Steps: 11006/10000000 | Avg reward: 18.000000 | loss: 0.027010 | Best: 13.900000
Episode: 70 | Steps: 12567/10000000 | Avg reward: 11.700000 | loss: 0.018389 | Best: 18.000000
Episode: 80 | Steps: 14540/10000000 | Avg reward: 12.000000 | loss: 0.030649 | Best: 18.000000
Episode: 90 | Steps: 16291/10000000 | Avg reward: 11.300000 | loss: 0.014143 | Best: 18.000000
Episode: 100 | Steps: 17894/10000000 | Avg reward: 11.200000 | loss: 0.015759 | Best: 18.000000
Episode: 110 | Steps: 19905/10000000 | Avg reward: 14.800000 | loss: 0.025558 | Best: 18.000000
Episode: 120 | Steps: 21863/10000000 | Avg reward: 19.200000 | loss: 0.021570 | Best: 18.000000
Episode: 130 | Steps: 23430/10000000 | Avg reward: 12.000000 | loss: 0.018188 | Best: 19.200000
Episode: 140 | Steps: 25757/10000000 | Avg reward: 18.000000 | loss: 0.011638 | Best: 19.200000
Episode: 150 | Steps: 27473/10000000 | Avg reward: 16.100000 | loss: 0.019716 | Best: 19.200000
Episode: 160 | Steps: 29678/10000000 | Avg reward: 18.600000 | loss: 0.016743 | Best: 19.200000
Episode: 170 | Steps: 31571/10000000 | Avg reward: 17.800000 | loss: 0.028013 | Best: 19.200000
Episode: 180 | Steps: 33423/10000000 | Avg reward: 14.700000 | loss: 0.035185 | Best: 19.200000
Episode: 190 | Steps: 35415/10000000 | Avg reward: 14.000000 | loss: 0.048357 | Best: 19.200000
Episode: 200 | Steps: 37343/10000000 | Avg reward: 13.300000 | loss: 0.052478 | Best: 19.200000
Episode: 210 | Steps: 39956/10000000 | Avg reward: 23.400000 | loss: 0.029273 | Best: 19.200000
Episode: 220 | Steps: 42588/10000000 | Avg reward: 20.600000 | loss: 0.001149 | Best: 23.400000
Episode: 230 | Steps: 44788/10000000 | Avg reward: 18.000000 | loss: 0.029936 | Best: 23.400000
Episode: 240 | Steps: 46791/10000000 | Avg reward: 21.400000 | loss: 0.025520 | Best: 23.400000
Episode: 250 | Steps: 49050/10000000 | Avg reward: 23.000000 | loss: 0.033926 | Best: 23.400000
Episode: 260 | Steps: 50552/10000000 | Avg reward: 12.400000 | loss: 0.062141 | Best: 23.400000
Episode: 270 | Steps: 52874/10000000 | Avg reward: 21.000000 | loss: 0.030441 | Best: 23.400000
Episode: 280 | Steps: 55183/10000000 | Avg reward: 19.000000 | loss: 0.030423 | Best: 23.400000
Episode: 290 | Steps: 57286/10000000 | Avg reward: 15.200000 | loss: 0.015930 | Best: 23.400000
Episode: 300 | Steps: 59502/10000000 | Avg reward: 18.000000 | loss: 0.032354 | Best: 23.400000
Episode: 310 | Steps: 62320/10000000 | Avg reward: 23.400000 | loss: 0.050964 | Best: 23.400000
Episode: 320 | Steps: 63962/10000000 | Avg reward: 16.600000 | loss: 0.013496 | Best: 23.400000
Episode: 330 | Steps: 65531/10000000 | Avg reward: 12.900000 | loss: 0.027244 | Best: 23.400000
Episode: 340 | Steps: 67233/10000000 | Avg reward: 16.500000 | loss: 0.014629 | Best: 23.400000
Episode: 350 | Steps: 69577/10000000 | Avg reward: 19.400000 | loss: 0.013015 | Best: 23.400000
Episode: 360 | Steps: 71705/10000000 | Avg reward: 22.100000 | loss: 0.007471 | Best: 23.400000
Episode: 370 | Steps: 73470/10000000 | Avg reward: 13.800000 | loss: 0.020638 | Best: 23.400000
Episode: 380 | Steps: 76019/10000000 | Avg reward: 20.400000 | loss: 0.051925 | Best: 23.400000
Episode: 390 | Steps: 78058/10000000 | Avg reward: 17.700000 | loss: 0.018638 | Best: 23.400000
Episode: 400 | Steps: 80238/10000000 | Avg reward: 20.400000 | loss: 0.032666 | Best: 23.400000
Episode: 410 | Steps: 82450/10000000 | Avg reward: 21.600000 | loss: 0.018542 | Best: 23.400000
Episode: 420 | Steps: 84768/10000000 | Avg reward: 23.700000 | loss: 0.026942 | Best: 23.400000
Episode: 430 | Steps: 87315/10000000 | Avg reward: 26.100000 | loss: 0.029826 | Best: 23.700000
Episode: 440 | Steps: 89233/10000000 | Avg reward: 18.500000 | loss: 0.011151 | Best: 26.100000
Episode: 450 | Steps: 91761/10000000 | Avg reward: 21.900000 | loss: 0.051480 | Best: 26.100000
Episode: 460 | Steps: 93887/10000000 | Avg reward: 21.800000 | loss: 0.007921 | Best: 26.100000
Episode: 470 | Steps: 96511/10000000 | Avg reward: 23.600000 | loss: 0.008414 | Best: 26.100000
Episode: 480 | Steps: 98605/10000000 | Avg reward: 17.200000 | loss: 0.025360 | Best: 26.100000
Episode: 490 | Steps: 100656/10000000 | Avg reward: 20.500000 | loss: 0.020266 | Best: 26.100000
Episode: 500 | Steps: 103021/10000000 | Avg reward: 22.100000 | loss: 0.003513 | Best: 26.100000
Episode: 510 | Steps: 105165/10000000 | Avg reward: 16.900000 | loss: 0.019039 | Best: 26.100000
Episode: 520 | Steps: 107278/10000000 | Avg reward: 18.500000 | loss: 0.046846 | Best: 26.100000
Episode: 530 | Steps: 109720/10000000 | Avg reward: 23.000000 | loss: 0.017246 | Best: 26.100000
Episode: 540 | Steps: 112649/10000000 | Avg reward: 29.200000 | loss: 0.016846 | Best: 26.100000
Episode: 550 | Steps: 114707/10000000 | Avg reward: 19.900000 | loss: 0.015885 | Best: 29.200000
Episode: 560 | Steps: 117329/10000000 | Avg reward: 25.200000 | loss: 0.010966 | Best: 29.200000
Episode: 570 | Steps: 119789/10000000 | Avg reward: 23.400000 | loss: 0.002031 | Best: 29.200000
Episode: 580 | Steps: 121812/10000000 | Avg reward: 20.300000 | loss: 0.029643 | Best: 29.200000
Episode: 590 | Steps: 124510/10000000 | Avg reward: 23.000000 | loss: 0.004230 | Best: 29.200000
Episode: 600 | Steps: 126536/10000000 | Avg reward: 18.400000 | loss: 0.001324 | Best: 29.200000
Episode: 610 | Steps: 129302/10000000 | Avg reward: 25.400000 | loss: 0.005571 | Best: 29.200000
