Episode: 0 | Steps: 529/10000000 | Avg reward: 2.700000 | loss: 0.000000 | Best: 0.000000
Episode: 10 | Steps: 2617/10000000 | Avg reward: 7.600000 | loss: 0.000000 | Best: 2.700000
Episode: 20 | Steps: 4312/10000000 | Avg reward: 7.100000 | loss: 0.000000 | Best: 7.600000
Episode: 30 | Steps: 6344/10000000 | Avg reward: 8.700000 | loss: 0.000000 | Best: 7.600000
Episode: 40 | Steps: 8125/10000000 | Avg reward: 7.800000 | loss: 0.000000 | Best: 8.700000
Episode: 50 | Steps: 10002/10000000 | Avg reward: 8.000000 | loss: 0.000000 | Best: 8.700000
Episode: 60 | Steps: 12139/10000000 | Avg reward: 13.100000 | loss: 0.039754 | Best: 8.700000
Episode: 70 | Steps: 14065/10000000 | Avg reward: 12.100000 | loss: 0.022740 | Best: 13.100000
Episode: 80 | Steps: 16071/10000000 | Avg reward: 11.200000 | loss: 0.045969 | Best: 13.100000
Episode: 90 | Steps: 18644/10000000 | Avg reward: 16.000000 | loss: 0.059027 | Best: 13.100000
Episode: 100 | Steps: 20224/10000000 | Avg reward: 13.100000 | loss: 0.004277 | Best: 16.000000
Episode: 110 | Steps: 22175/10000000 | Avg reward: 14.300000 | loss: 0.014973 | Best: 16.000000
Episode: 120 | Steps: 24131/10000000 | Avg reward: 15.000000 | loss: 0.018063 | Best: 16.000000
Episode: 130 | Steps: 26178/10000000 | Avg reward: 12.100000 | loss: 0.022234 | Best: 16.000000
Episode: 140 | Steps: 27954/10000000 | Avg reward: 13.000000 | loss: 0.019401 | Best: 16.000000
Episode: 150 | Steps: 30572/10000000 | Avg reward: 24.100000 | loss: 0.039939 | Best: 16.000000
Episode: 160 | Steps: 32982/10000000 | Avg reward: 20.700000 | loss: 0.012750 | Best: 24.100000
Episode: 170 | Steps: 34754/10000000 | Avg reward: 16.800000 | loss: 0.050056 | Best: 24.100000
Episode: 180 | Steps: 36869/10000000 | Avg reward: 14.900000 | loss: 0.018742 | Best: 24.100000
Episode: 190 | Steps: 39038/10000000 | Avg reward: 20.400000 | loss: 0.028794 | Best: 24.100000
Episode: 200 | Steps: 41366/10000000 | Avg reward: 16.800000 | loss: 0.036901 | Best: 24.100000
Episode: 210 | Steps: 43269/10000000 | Avg reward: 17.300000 | loss: 0.035647 | Best: 24.100000
Episode: 220 | Steps: 45318/10000000 | Avg reward: 18.500000 | loss: 0.011479 | Best: 24.100000
Episode: 230 | Steps: 47438/10000000 | Avg reward: 17.200000 | loss: 0.058798 | Best: 24.100000
Episode: 240 | Steps: 48865/10000000 | Avg reward: 11.300000 | loss: 0.054488 | Best: 24.100000
Episode: 250 | Steps: 50253/10000000 | Avg reward: 11.400000 | loss: 0.032676 | Best: 24.100000
Episode: 260 | Steps: 52326/10000000 | Avg reward: 22.900000 | loss: 0.019200 | Best: 24.100000
Episode: 270 | Steps: 54098/10000000 | Avg reward: 18.600000 | loss: 0.024321 | Best: 24.100000
Episode: 280 | Steps: 56010/10000000 | Avg reward: 16.000000 | loss: 0.022050 | Best: 24.100000
