Episode: 0 | Steps: 163/10000000 | Avg reward: 2.100000 | loss: 0.000000 | Best: 0.000000
Episode: 10 | Steps: 1490/10000000 | Avg reward: 10.800000 | loss: 0.000000 | Best: 2.100000
Episode: 20 | Steps: 2863/10000000 | Avg reward: 9.700000 | loss: 0.000000 | Best: 10.800000
Episode: 30 | Steps: 4683/10000000 | Avg reward: 15.300000 | loss: 0.000000 | Best: 10.800000
Episode: 40 | Steps: 6554/10000000 | Avg reward: 11.500000 | loss: 0.000000 | Best: 15.300000
Episode: 50 | Steps: 8134/10000000 | Avg reward: 11.500000 | loss: 0.000000 | Best: 15.300000
Episode: 60 | Steps: 9812/10000000 | Avg reward: 14.600000 | loss: 0.000000 | Best: 15.300000
Episode: 70 | Steps: 11683/10000000 | Avg reward: 14.200000 | loss: 0.029301 | Best: 15.300000
Episode: 80 | Steps: 13273/10000000 | Avg reward: 13.300000 | loss: 0.019091 | Best: 15.300000
Episode: 90 | Steps: 15361/10000000 | Avg reward: 21.100000 | loss: 0.049393 | Best: 15.300000
Episode: 100 | Steps: 17526/10000000 | Avg reward: 15.400000 | loss: 0.052014 | Best: 21.100000
Episode: 110 | Steps: 19675/10000000 | Avg reward: 21.500000 | loss: 0.046118 | Best: 21.100000
Episode: 120 | Steps: 21330/10000000 | Avg reward: 14.700000 | loss: 0.055158 | Best: 21.500000
Episode: 130 | Steps: 23358/10000000 | Avg reward: 17.100000 | loss: 0.038930 | Best: 21.500000
Episode: 140 | Steps: 25571/10000000 | Avg reward: 16.800000 | loss: 0.035522 | Best: 21.500000
Episode: 150 | Steps: 27982/10000000 | Avg reward: 20.600000 | loss: 0.031151 | Best: 21.500000
Episode: 160 | Steps: 30233/10000000 | Avg reward: 20.900000 | loss: 0.076396 | Best: 21.500000
Episode: 170 | Steps: 32022/10000000 | Avg reward: 17.900000 | loss: 0.072261 | Best: 21.500000
Episode: 180 | Steps: 34589/10000000 | Avg reward: 21.700000 | loss: 0.070823 | Best: 21.500000
Episode: 190 | Steps: 36977/10000000 | Avg reward: 21.000000 | loss: 0.052867 | Best: 21.700000
Episode: 200 | Steps: 38745/10000000 | Avg reward: 14.600000 | loss: 0.020403 | Best: 21.700000
Episode: 210 | Steps: 41356/10000000 | Avg reward: 27.000000 | loss: 0.027291 | Best: 21.700000
Episode: 220 | Steps: 43339/10000000 | Avg reward: 13.500000 | loss: 0.033497 | Best: 27.000000
Episode: 230 | Steps: 45594/10000000 | Avg reward: 19.900000 | loss: 0.103629 | Best: 27.000000
Episode: 240 | Steps: 48210/10000000 | Avg reward: 24.800000 | loss: 0.079122 | Best: 27.000000
Episode: 250 | Steps: 50902/10000000 | Avg reward: 24.600000 | loss: 0.042093 | Best: 27.000000
Episode: 260 | Steps: 52777/10000000 | Avg reward: 16.500000 | loss: 0.014643 | Best: 27.000000
Episode: 270 | Steps: 54758/10000000 | Avg reward: 22.200000 | loss: 0.028052 | Best: 27.000000
Episode: 280 | Steps: 57070/10000000 | Avg reward: 21.500000 | loss: 0.032943 | Best: 27.000000
Episode: 290 | Steps: 59398/10000000 | Avg reward: 23.100000 | loss: 0.022761 | Best: 27.000000
Episode: 300 | Steps: 61093/10000000 | Avg reward: 17.800000 | loss: 0.028753 | Best: 27.000000
Episode: 310 | Steps: 63172/10000000 | Avg reward: 20.300000 | loss: 0.033678 | Best: 27.000000
Episode: 320 | Steps: 65675/10000000 | Avg reward: 22.600000 | loss: 0.024870 | Best: 27.000000
Episode: 330 | Steps: 67715/10000000 | Avg reward: 21.100000 | loss: 0.014322 | Best: 27.000000
Episode: 340 | Steps: 69595/10000000 | Avg reward: 19.300000 | loss: 0.049036 | Best: 27.000000
Episode: 350 | Steps: 72024/10000000 | Avg reward: 27.100000 | loss: 0.027590 | Best: 27.000000
Episode: 360 | Steps: 74357/10000000 | Avg reward: 19.300000 | loss: 0.021843 | Best: 27.100000
Episode: 370 | Steps: 76602/10000000 | Avg reward: 21.600000 | loss: 0.058293 | Best: 27.100000
Episode: 380 | Steps: 78659/10000000 | Avg reward: 21.100000 | loss: 0.038742 | Best: 27.100000
Episode: 390 | Steps: 80702/10000000 | Avg reward: 22.100000 | loss: 0.030113 | Best: 27.100000
Episode: 400 | Steps: 82990/10000000 | Avg reward: 22.800000 | loss: 0.151395 | Best: 27.100000
Episode: 410 | Steps: 85091/10000000 | Avg reward: 25.100000 | loss: 0.033472 | Best: 27.100000
Episode: 420 | Steps: 86824/10000000 | Avg reward: 19.800000 | loss: 0.147304 | Best: 27.100000
Episode: 430 | Steps: 88551/10000000 | Avg reward: 17.700000 | loss: 0.064522 | Best: 27.100000
Episode: 440 | Steps: 90909/10000000 | Avg reward: 26.900000 | loss: 0.035354 | Best: 27.100000
Episode: 450 | Steps: 93360/10000000 | Avg reward: 25.500000 | loss: 0.066868 | Best: 27.100000
Episode: 460 | Steps: 95561/10000000 | Avg reward: 21.300000 | loss: 0.073760 | Best: 27.100000
Episode: 470 | Steps: 98389/10000000 | Avg reward: 25.400000 | loss: 0.062039 | Best: 27.100000
Episode: 480 | Steps: 100807/10000000 | Avg reward: 24.500000 | loss: 0.048096 | Best: 27.100000
Episode: 490 | Steps: 102834/10000000 | Avg reward: 22.300000 | loss: 0.033476 | Best: 27.100000
Episode: 500 | Steps: 105241/10000000 | Avg reward: 22.400000 | loss: 0.030071 | Best: 27.100000
