Episode: 0 | Steps: 176/10000000 | Avg reward: 0.600000 | loss: 0.000000 | Best: 0.000000
Episode: 10 | Steps: 1791/10000000 | Avg reward: 7.900000 | loss: 0.000000 | Best: 0.600000
Episode: 20 | Steps: 3315/10000000 | Avg reward: 6.100000 | loss: 0.000000 | Best: 7.900000
Episode: 30 | Steps: 5308/10000000 | Avg reward: 9.400000 | loss: 0.000000 | Best: 7.900000
Episode: 40 | Steps: 6911/10000000 | Avg reward: 9.900000 | loss: 0.000000 | Best: 9.400000
Episode: 50 | Steps: 8394/10000000 | Avg reward: 6.000000 | loss: 0.000000 | Best: 9.900000
Episode: 60 | Steps: 10324/10000000 | Avg reward: 9.500000 | loss: 0.029504 | Best: 9.900000
Episode: 70 | Steps: 12046/10000000 | Avg reward: 7.400000 | loss: 0.026645 | Best: 9.900000
Episode: 80 | Steps: 14116/10000000 | Avg reward: 11.100000 | loss: 0.026990 | Best: 9.900000
Episode: 90 | Steps: 16287/10000000 | Avg reward: 14.800000 | loss: 0.052490 | Best: 11.100000
Episode: 100 | Steps: 18471/10000000 | Avg reward: 18.100000 | loss: 0.032422 | Best: 14.800000
Episode: 110 | Steps: 20440/10000000 | Avg reward: 15.800000 | loss: 0.044003 | Best: 18.100000
Episode: 120 | Steps: 22764/10000000 | Avg reward: 22.900000 | loss: 0.015008 | Best: 18.100000
Episode: 130 | Steps: 24492/10000000 | Avg reward: 13.300000 | loss: 0.085429 | Best: 22.900000
Episode: 140 | Steps: 26254/10000000 | Avg reward: 16.200000 | loss: 0.053683 | Best: 22.900000
Episode: 150 | Steps: 28314/10000000 | Avg reward: 20.500000 | loss: 0.102060 | Best: 22.900000
Episode: 160 | Steps: 30272/10000000 | Avg reward: 17.100000 | loss: 0.063651 | Best: 22.900000
Episode: 170 | Steps: 32313/10000000 | Avg reward: 20.300000 | loss: 0.111017 | Best: 22.900000
Episode: 180 | Steps: 34536/10000000 | Avg reward: 26.100000 | loss: 0.038945 | Best: 22.900000
Episode: 190 | Steps: 36489/10000000 | Avg reward: 14.300000 | loss: 0.099488 | Best: 26.100000
Episode: 200 | Steps: 38070/10000000 | Avg reward: 16.500000 | loss: 0.098467 | Best: 26.100000
Episode: 210 | Steps: 40127/10000000 | Avg reward: 19.500000 | loss: 0.090062 | Best: 26.100000
Episode: 220 | Steps: 41734/10000000 | Avg reward: 14.400000 | loss: 0.170759 | Best: 26.100000
Episode: 230 | Steps: 44446/10000000 | Avg reward: 27.200000 | loss: 0.051690 | Best: 26.100000
Episode: 240 | Steps: 46788/10000000 | Avg reward: 20.900000 | loss: 0.044027 | Best: 27.200000
Episode: 250 | Steps: 49120/10000000 | Avg reward: 21.200000 | loss: 0.046029 | Best: 27.200000
Episode: 260 | Steps: 51104/10000000 | Avg reward: 16.500000 | loss: 0.040706 | Best: 27.200000
Episode: 270 | Steps: 53003/10000000 | Avg reward: 20.300000 | loss: 0.074335 | Best: 27.200000
Episode: 280 | Steps: 55117/10000000 | Avg reward: 21.700000 | loss: 0.044503 | Best: 27.200000
Episode: 290 | Steps: 56983/10000000 | Avg reward: 17.200000 | loss: 0.072716 | Best: 27.200000
Episode: 300 | Steps: 58848/10000000 | Avg reward: 21.300000 | loss: 0.141205 | Best: 27.200000
Episode: 310 | Steps: 60639/10000000 | Avg reward: 17.800000 | loss: 0.051896 | Best: 27.200000
Episode: 320 | Steps: 62754/10000000 | Avg reward: 18.700000 | loss: 0.057962 | Best: 27.200000
Episode: 330 | Steps: 64607/10000000 | Avg reward: 19.500000 | loss: 0.032484 | Best: 27.200000
Episode: 340 | Steps: 66584/10000000 | Avg reward: 19.000000 | loss: 0.034849 | Best: 27.200000
Episode: 350 | Steps: 68963/10000000 | Avg reward: 23.300000 | loss: 0.079076 | Best: 27.200000
Episode: 360 | Steps: 71191/10000000 | Avg reward: 22.800000 | loss: 0.036374 | Best: 27.200000
Episode: 370 | Steps: 72985/10000000 | Avg reward: 18.700000 | loss: 0.028915 | Best: 27.200000
Episode: 380 | Steps: 74951/10000000 | Avg reward: 18.600000 | loss: 0.063424 | Best: 27.200000
Episode: 390 | Steps: 77065/10000000 | Avg reward: 24.500000 | loss: 0.044293 | Best: 27.200000
Episode: 400 | Steps: 79833/10000000 | Avg reward: 26.100000 | loss: 0.049587 | Best: 27.200000
Episode: 410 | Steps: 81570/10000000 | Avg reward: 15.100000 | loss: 0.056667 | Best: 27.200000
Episode: 420 | Steps: 83650/10000000 | Avg reward: 21.700000 | loss: 0.112681 | Best: 27.200000
Episode: 430 | Steps: 85763/10000000 | Avg reward: 21.600000 | loss: 0.015589 | Best: 27.200000
Episode: 440 | Steps: 87855/10000000 | Avg reward: 22.600000 | loss: 0.202267 | Best: 27.200000
Episode: 450 | Steps: 90131/10000000 | Avg reward: 21.600000 | loss: 0.043663 | Best: 27.200000
Episode: 460 | Steps: 91596/10000000 | Avg reward: 14.300000 | loss: 0.059663 | Best: 27.200000
Episode: 470 | Steps: 93598/10000000 | Avg reward: 17.900000 | loss: 0.065978 | Best: 27.200000
Episode: 480 | Steps: 95671/10000000 | Avg reward: 21.500000 | loss: 0.034330 | Best: 27.200000
Episode: 490 | Steps: 98107/10000000 | Avg reward: 21.700000 | loss: 0.033734 | Best: 27.200000
Episode: 500 | Steps: 99831/10000000 | Avg reward: 17.200000 | loss: 0.037894 | Best: 27.200000
Episode: 510 | Steps: 101852/10000000 | Avg reward: 23.700000 | loss: 0.026158 | Best: 27.200000
Episode: 520 | Steps: 104082/10000000 | Avg reward: 21.000000 | loss: 0.151874 | Best: 27.200000
Episode: 530 | Steps: 106184/10000000 | Avg reward: 19.700000 | loss: 0.047748 | Best: 27.200000
Episode: 540 | Steps: 109072/10000000 | Avg reward: 29.200000 | loss: 0.055406 | Best: 27.200000
Episode: 550 | Steps: 111147/10000000 | Avg reward: 20.400000 | loss: 0.088039 | Best: 29.200000
Episode: 560 | Steps: 113712/10000000 | Avg reward: 25.700000 | loss: 0.045359 | Best: 29.200000
Episode: 570 | Steps: 116404/10000000 | Avg reward: 26.700000 | loss: 0.012267 | Best: 29.200000
Episode: 580 | Steps: 118537/10000000 | Avg reward: 24.300000 | loss: 0.030408 | Best: 29.200000
Episode: 590 | Steps: 120807/10000000 | Avg reward: 22.400000 | loss: 0.028631 | Best: 29.200000
Episode: 600 | Steps: 122625/10000000 | Avg reward: 21.600000 | loss: 0.076235 | Best: 29.200000
Episode: 610 | Steps: 124551/10000000 | Avg reward: 16.200000 | loss: 0.063554 | Best: 29.200000
Episode: 620 | Steps: 126684/10000000 | Avg reward: 20.400000 | loss: 0.033495 | Best: 29.200000
