Episode: 600 | Steps: 1393553/10000000 | Avg reward: 26.400000 | loss: 0.060640 | Best: 27.600000
Episode: 610 | Steps: 1417115/10000000 | Avg reward: 15.000000 | loss: 0.053576 | Best: 27.600000
Episode: 620 | Steps: 1440455/10000000 | Avg reward: 14.400000 | loss: 0.034079 | Best: 27.600000
Episode: 630 | Steps: 1463828/10000000 | Avg reward: 13.200000 | loss: 0.042556 | Best: 27.600000
Episode: 640 | Steps: 1486770/10000000 | Avg reward: 13.000000 | loss: 0.053636 | Best: 27.600000
Episode: 650 | Steps: 1509959/10000000 | Avg reward: 16.300000 | loss: 0.080305 | Best: 27.600000
Episode: 660 | Steps: 1533228/10000000 | Avg reward: 16.600000 | loss: 0.043845 | Best: 27.600000
Episode: 670 | Steps: 1556221/10000000 | Avg reward: 18.200000 | loss: 0.039717 | Best: 27.600000
Episode: 680 | Steps: 1577808/10000000 | Avg reward: 24.300000 | loss: 0.118274 | Best: 27.600000
Episode: 690 | Steps: 1600236/10000000 | Avg reward: 22.200000 | loss: 0.061478 | Best: 27.600000
Episode: 700 | Steps: 1622250/10000000 | Avg reward: 27.500000 | loss: 0.037578 | Best: 27.600000
Episode: 710 | Steps: 1644647/10000000 | Avg reward: 20.900000 | loss: 0.061250 | Best: 27.600000
Episode: 720 | Steps: 1667106/10000000 | Avg reward: 22.500000 | loss: 0.051997 | Best: 27.600000
Episode: 730 | Steps: 1688787/10000000 | Avg reward: 26.300000 | loss: 0.037061 | Best: 27.600000
Episode: 740 | Steps: 1711748/10000000 | Avg reward: 19.300000 | loss: 0.038211 | Best: 27.600000
Episode: 750 | Steps: 1733412/10000000 | Avg reward: 22.200000 | loss: 0.087282 | Best: 27.600000
Episode: 760 | Steps: 1754844/10000000 | Avg reward: 28.600000 | loss: 0.083794 | Best: 27.600000
Episode: 770 | Steps: 1776299/10000000 | Avg reward: 29.900000 | loss: 0.064336 | Best: 28.600000
Episode: 780 | Steps: 1797694/10000000 | Avg reward: 27.200000 | loss: 0.104675 | Best: 29.900000
Episode: 790 | Steps: 1819669/10000000 | Avg reward: 24.600000 | loss: 0.082417 | Best: 29.900000
Episode: 800 | Steps: 1839686/10000000 | Avg reward: 33.400000 | loss: 0.065181 | Best: 29.900000
Episode: 810 | Steps: 1860187/10000000 | Avg reward: 28.500000 | loss: 0.103457 | Best: 33.400000
Episode: 820 | Steps: 1882270/10000000 | Avg reward: 27.800000 | loss: 0.095430 | Best: 33.400000
