Episode: 600 | Steps: 115126/10000000 | Avg reward: 10.600000 | loss: 0.017661 | Best: 23.500000
Episode: 610 | Steps: 117368/10000000 | Avg reward: 20.600000 | loss: 0.003766 | Best: 23.500000
Episode: 620 | Steps: 119202/10000000 | Avg reward: 12.100000 | loss: 0.025824 | Best: 23.500000
Episode: 630 | Steps: 121691/10000000 | Avg reward: 16.000000 | loss: 0.004538 | Best: 23.500000
Episode: 640 | Steps: 123795/10000000 | Avg reward: 15.800000 | loss: 0.020189 | Best: 23.500000
Episode: 650 | Steps: 125792/10000000 | Avg reward: 14.400000 | loss: 0.030673 | Best: 23.500000
Episode: 660 | Steps: 128072/10000000 | Avg reward: 19.000000 | loss: 0.014943 | Best: 23.500000
Episode: 670 | Steps: 130979/10000000 | Avg reward: 25.300000 | loss: 0.025648 | Best: 23.500000
Episode: 680 | Steps: 132980/10000000 | Avg reward: 15.900000 | loss: 0.020666 | Best: 25.300000
Episode: 690 | Steps: 134788/10000000 | Avg reward: 12.400000 | loss: 0.033404 | Best: 25.300000
Episode: 700 | Steps: 137325/10000000 | Avg reward: 19.400000 | loss: 0.016370 | Best: 25.300000
Episode: 710 | Steps: 139140/10000000 | Avg reward: 14.600000 | loss: 0.028992 | Best: 25.300000
Episode: 720 | Steps: 141309/10000000 | Avg reward: 14.200000 | loss: 0.003708 | Best: 25.300000
Episode: 730 | Steps: 143237/10000000 | Avg reward: 17.300000 | loss: 0.018082 | Best: 25.300000
Episode: 740 | Steps: 145574/10000000 | Avg reward: 17.500000 | loss: 0.023694 | Best: 25.300000
Episode: 750 | Steps: 147494/10000000 | Avg reward: 13.300000 | loss: 0.003017 | Best: 25.300000
Episode: 760 | Steps: 150113/10000000 | Avg reward: 20.600000 | loss: 0.026487 | Best: 25.300000
Episode: 770 | Steps: 152424/10000000 | Avg reward: 15.200000 | loss: 0.013050 | Best: 25.300000
Episode: 780 | Steps: 154585/10000000 | Avg reward: 16.600000 | loss: 0.005804 | Best: 25.300000
Episode: 790 | Steps: 156813/10000000 | Avg reward: 18.000000 | loss: 0.025981 | Best: 25.300000
Episode: 800 | Steps: 159125/10000000 | Avg reward: 14.500000 | loss: 0.014367 | Best: 25.300000
Episode: 810 | Steps: 161141/10000000 | Avg reward: 15.400000 | loss: 0.005038 | Best: 25.300000
Episode: 820 | Steps: 163269/10000000 | Avg reward: 15.000000 | loss: 0.000892 | Best: 25.300000
Episode: 830 | Steps: 165769/10000000 | Avg reward: 16.500000 | loss: 0.002497 | Best: 25.300000
Episode: 840 | Steps: 167874/10000000 | Avg reward: 15.200000 | loss: 0.001177 | Best: 25.300000
Episode: 850 | Steps: 170104/10000000 | Avg reward: 21.300000 | loss: 0.024871 | Best: 25.300000
Episode: 860 | Steps: 172235/10000000 | Avg reward: 19.100000 | loss: 0.004581 | Best: 25.300000
Episode: 870 | Steps: 174798/10000000 | Avg reward: 21.200000 | loss: 0.019719 | Best: 25.300000
Episode: 880 | Steps: 176936/10000000 | Avg reward: 15.900000 | loss: 0.018867 | Best: 25.300000
Episode: 890 | Steps: 179137/10000000 | Avg reward: 18.400000 | loss: 0.005084 | Best: 25.300000
Episode: 900 | Steps: 181309/10000000 | Avg reward: 18.400000 | loss: 0.027934 | Best: 25.300000
Episode: 910 | Steps: 182780/10000000 | Avg reward: 11.900000 | loss: 0.007986 | Best: 25.300000
Episode: 920 | Steps: 184996/10000000 | Avg reward: 18.200000 | loss: 0.013038 | Best: 25.300000
Episode: 930 | Steps: 187311/10000000 | Avg reward: 19.700000 | loss: 0.019618 | Best: 25.300000
Episode: 940 | Steps: 189391/10000000 | Avg reward: 17.600000 | loss: 0.000695 | Best: 25.300000
Episode: 950 | Steps: 191153/10000000 | Avg reward: 11.200000 | loss: 0.042099 | Best: 25.300000
Episode: 960 | Steps: 193308/10000000 | Avg reward: 17.300000 | loss: 0.000441 | Best: 25.300000
Episode: 970 | Steps: 195958/10000000 | Avg reward: 23.000000 | loss: 0.002716 | Best: 25.300000
Episode: 980 | Steps: 198026/10000000 | Avg reward: 13.600000 | loss: 0.014162 | Best: 25.300000
Episode: 990 | Steps: 200098/10000000 | Avg reward: 17.300000 | loss: 0.009279 | Best: 25.300000
Episode: 1000 | Steps: 202099/10000000 | Avg reward: 16.200000 | loss: 0.010488 | Best: 25.300000
Episode: 1010 | Steps: 204363/10000000 | Avg reward: 19.400000 | loss: 0.009017 | Best: 25.300000
Episode: 1020 | Steps: 206583/10000000 | Avg reward: 18.600000 | loss: 0.001379 | Best: 25.300000
Episode: 1030 | Steps: 208429/10000000 | Avg reward: 12.800000 | loss: 0.001744 | Best: 25.300000
Episode: 1040 | Steps: 210799/10000000 | Avg reward: 18.700000 | loss: 0.005593 | Best: 25.300000
Episode: 1050 | Steps: 212831/10000000 | Avg reward: 18.300000 | loss: 0.004522 | Best: 25.300000
Episode: 1060 | Steps: 214728/10000000 | Avg reward: 16.200000 | loss: 0.001877 | Best: 25.300000
Episode: 1070 | Steps: 216411/10000000 | Avg reward: 9.800000 | loss: 0.008095 | Best: 25.300000
Episode: 1080 | Steps: 218842/10000000 | Avg reward: 21.100000 | loss: 0.015126 | Best: 25.300000
Episode: 1090 | Steps: 220744/10000000 | Avg reward: 15.200000 | loss: 0.001329 | Best: 25.300000
Episode: 1100 | Steps: 221824/10000000 | Avg reward: 4.800000 | loss: 0.001416 | Best: 25.300000
Episode: 1110 | Steps: 223809/10000000 | Avg reward: 16.600000 | loss: 0.030048 | Best: 25.300000
Episode: 1120 | Steps: 225395/10000000 | Avg reward: 10.700000 | loss: 0.001943 | Best: 25.300000
Episode: 1130 | Steps: 227239/10000000 | Avg reward: 15.500000 | loss: 0.018580 | Best: 25.300000
Episode: 1140 | Steps: 229359/10000000 | Avg reward: 19.200000 | loss: 0.014296 | Best: 25.300000
Episode: 1150 | Steps: 230911/10000000 | Avg reward: 12.900000 | loss: 0.006220 | Best: 25.300000
Episode: 1160 | Steps: 232280/10000000 | Avg reward: 13.400000 | loss: 0.002917 | Best: 25.300000
Episode: 1170 | Steps: 234433/10000000 | Avg reward: 22.600000 | loss: 0.028370 | Best: 25.300000
Episode: 1180 | Steps: 236514/10000000 | Avg reward: 15.100000 | loss: 0.019324 | Best: 25.300000
Episode: 1190 | Steps: 238164/10000000 | Avg reward: 9.800000 | loss: 0.017297 | Best: 25.300000
Episode: 1200 | Steps: 240020/10000000 | Avg reward: 13.300000 | loss: 0.008503 | Best: 25.300000
Episode: 1210 | Steps: 242351/10000000 | Avg reward: 20.600000 | loss: 0.004936 | Best: 25.300000
Episode: 1220 | Steps: 243770/10000000 | Avg reward: 9.000000 | loss: 0.011409 | Best: 25.300000
Episode: 1230 | Steps: 246095/10000000 | Avg reward: 19.200000 | loss: 0.019345 | Best: 25.300000
Episode: 1240 | Steps: 247905/10000000 | Avg reward: 16.400000 | loss: 0.002473 | Best: 25.300000
Episode: 1250 | Steps: 250037/10000000 | Avg reward: 15.000000 | loss: 0.002671 | Best: 25.300000
Episode: 1260 | Steps: 252062/10000000 | Avg reward: 16.700000 | loss: 0.003035 | Best: 25.300000
Episode: 1270 | Steps: 253761/10000000 | Avg reward: 12.700000 | loss: 0.002314 | Best: 25.300000
Episode: 1280 | Steps: 256042/10000000 | Avg reward: 16.300000 | loss: 0.010842 | Best: 25.300000
Episode: 1290 | Steps: 258437/10000000 | Avg reward: 17.700000 | loss: 0.004849 | Best: 25.300000
Episode: 1300 | Steps: 260407/10000000 | Avg reward: 14.700000 | loss: 0.038516 | Best: 25.300000
Episode: 1310 | Steps: 262318/10000000 | Avg reward: 12.300000 | loss: 0.008111 | Best: 25.300000
Episode: 1320 | Steps: 264489/10000000 | Avg reward: 14.400000 | loss: 0.003053 | Best: 25.300000
